,abstract,web_url,snippet,lead_paragraph,source,headline,pub_date,meta.article_type,meta.arguments
16,"Many companies do not account for the emissions from their supply chains, which can be a significant majority of their contributions to greenhouse gases.",https://www.nytimes.com/2021/11/02/business/corporate-climate-pledge-supply-chain.html,,"For nearly 30 years, the pharmaceutical giant Bristol Myers Squibb has proclaimed it’s been setting and meeting ambitious targets around energy and greenhouse gas emissions. These days, those goals include being “carbon neutral” by 2040.",The New York Times,Corporate Climate Pledges Often Ignore a Key Component: Supply Chains,2021-11-02 09:00:18+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
17,The world’s largest maker of electric cars struggled with production problems in China.,https://www.nytimes.com/2022/07/20/business/tesla-earnings-elon-musk.html,,Tesla said Wednesday that profit in the second quarter fell nearly one-third from the first quarter as deliveries slowed because of shutdowns and raw materials shortages at the carmaker’s factory in Shanghai.,The New York Times,Tesla Profit Falls in Second Quarter as Supply Chain Problems Hurt,2022-07-20 20:46:42+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
18,"The global industry is cutting some ties to China, but its exposure to forced labor remains high and companies are less transparent, a new report found.",https://www.nytimes.com/2023/08/01/business/economy/solar-xinjiang-china-report.html,,"Global supply chains for solar panels have begun shifting away from a heavy reliance on China, in part because of a recent ban on products from Xinjiang, a region where the U.S. government and United Nations accuse the Chinese government of committing human rights violations.",The New York Times,Solar Supply Chain Grows More Opaque Amid Human Rights Concerns,2023-08-01 09:01:24+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
19,Federal Reserve officials are preparing to slow bond buying and are divided over when they might need to raise interest rates as inflation bites.,https://www.nytimes.com/2021/10/13/business/economy/fed-meeting-minutes-september-2021.html,,"Federal Reserve officials were preparing to begin slowing down monetary policy support as soon as the middle of November, minutes from their September meeting showed, and policymakers debated when they might need to raise rates amid rising inflation risks.",The New York Times,The Fed prepared to slow support for the economy and worried about supply chain disruption at its last meeting.,2021-10-13 18:40:38+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
20,"China’s capital city is not as central to global production networks as Shanghai, but the costs for global companies will still mount if lockdowns spread.",https://www.nytimes.com/2022/04/25/business/china-supply-chain-covid.html,,The prospect of further lockdowns in China prompted a fresh wave of economic anxiety on Monday as investors and companies whose supply chains run through China contemplated the impact of 70 new virus cases that the Beijing government said it had detected over the weekend.,The New York Times,The prospect of lockdowns in Beijing fuels more concerns about supply chain disruptions.,2022-04-25 17:34:49+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
21,"A surge in Omicron variant infections has prompted Chinese authorities to lock down residents, close factories and stop truck traffic, snarling already frayed supply chains.",https://www.nytimes.com/2022/03/15/business/covid-china-economy.html,,BEIJING — Trucks are being delayed by the testing of drivers. Container rates are rising as ships wait for many hours at ports. Products are piling up in warehouses.,The New York Times,China’s Covid Lockdowns Set to Further Disrupt Global Supply Chains,2022-03-15 10:30:19+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
22,"With the contract of union workers at West Coast ports nearing expiration, the prospect of a labor impasse threatens another shock to the global economy.",https://www.nytimes.com/2022/03/28/business/dockworkers-strike-supply-chain.html,,"In a world contending with no end of economic troubles, a fresh source of concern now looms: the prospect of a confrontation between union dockworkers and their employers at some of the most critical ports on earth.",The New York Times,"New Supply Chain Risk: 22,000 Dockworkers Who May Soon Strike",2022-03-28 09:00:19+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
23,"The Consumer Price Index increased at the fastest pace in 40 years, a new report showed.",https://www.nytimes.com/2022/01/12/business/economy/cpi-inflation-december-2021.html,,"Inflation climbed to its highest level in 40 years at the end of 2021, a troubling development for President Biden and economic policymakers as rapid price gains erode consumer confidence and cast a shadow of uncertainty over the economy’s future.",The New York Times,"Consumer prices popped again in December, casting a shadow over the economy.",2022-01-12 10:21:51+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
24,"Lengthy and expanding walkouts by the United Automobile Workers union against Ford, General Motors and Stellantis could strain a fragile supply chain.",https://www.nytimes.com/2023/09/28/business/economy/uaw-strike-dealerships-parts-suppliers.html,,"More than a week into its targeted strike at the three established U.S. car companies, the United Automobile Workers union has poked holes in a supply chain that has still not fully recovered from the pandemic.",The New York Times,Drivers and Dealers Could Soon Feel Impact of U.A.W. Strikes,2023-09-28 15:06:06+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
25,"President Biden has made a push to unclog ports, address trucker shortages and take other steps to alleviate the pressure created by consumers looking to buy couches, cars and electronics instead of eating out or going to theme parks.",https://www.nytimes.com/2021/11/29/business/biden-supply-chain-shortages.html,,"President Biden told executives from some of the nation’s largest retailers on Monday that his administration was committed to partnering with them to untangle supply chains and ensure that American consumers can find everything they want this holiday season, as a surge in shopping tests an already strained global delivery system.",The New York Times,"The Biden administration, under fire for supply chain woes, says stores will be fully stocked for the holidays.",2021-11-29 22:17:33+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
26,"The supply-chain problems rocking companies may get worse heading into the holidays, as delays continue to snarl global trade and shipping prices jump even higher.",https://www.nytimes.com/2021/08/23/business/economy/supply-chain-bottlenecks-coronavirus-inflation.html,,"Catrike has 500 of its three-wheeled bikes sitting in its workshop in Orlando, Fla., nearly ready to be sent to expectant dealers. The recumbent trikes have been waiting for months for rear derailleurs, a small but crucial part that is built in Taiwan.",The New York Times,What an Adult Tricycle Says About the World’s Bottleneck Problems,2021-08-23 09:00:13+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
27,"The trade deficit in September climbed to $80.9 billion, a record. Imports rose slightly, while exports fell.",https://www.nytimes.com/2021/11/04/business/us-trade-deficit.html,,"The U.S. trade deficit hit a record $80.9 billion in September, reflecting a surge in imported goods that continued to outpace American exports, data released by the Commerce Department on Thursday showed.",The New York Times,The U.S. trade deficit rose as a surge of imports bogged down the supply chain.,2021-11-04 13:47:14+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
28,The automaker said shortages of parts are continuing to hurt its ability to make and sell vehicles.,https://www.nytimes.com/2022/09/19/business/ford-supply-chain.html,,Ford Motor said on Monday that the costs of parts would be $1 billion higher in the third quarter of the year than it had expected because of inflation and shortages of some components.,The New York Times,Ford Says It Will Spend $1 Billion More in Third Quarter Because of Supply Chain Problems,2022-09-19 22:24:23+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
29,"Expectant parents have keenly felt the inconvenience of global shipping delays caused by the pandemic. With a baby due, “it’s a different ballgame.”",https://www.nytimes.com/2021/12/29/business/baby-parents-supply-chain.html,,"Almost as soon as Eryn Yates made it through her first trimester of pregnancy last spring, she started shopping for her dream nursery.",The New York Times,What to Expect When You’re Expecting: Supply Chain Issues,2021-12-29 16:07:03+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
30,"Pandemic-related product shortages — from computer chips to construction materials — were supposed to be resolved by now. Instead, the world has gained a lesson in the ripple effects of disruption.",https://www.nytimes.com/2021/08/30/business/supply-chain-shortages.html,,"Like most people in the developed world, Kirsten Gjesdal had long taken for granted her ability to order whatever she needed and then watch the goods arrive, without any thought about the factories, container ships and trucks involved in delivery.",The New York Times,The World Is Still Short of Everything. Get Used to It.,2021-08-30 09:00:20+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
31,"China’s Covid lockdowns and restrictions are holding up truck drivers who carry crucial components among factories and take products to ports, posing a new disruption to the global supply chain.",https://www.nytimes.com/2022/04/08/business/china-lockdowns-supply-chain.html,,"BEIJING — China’s mounting Covid-19 restrictions are creating further disruptions to global supply chains for consumer electronics, car parts and other goods.",The New York Times,Lockdowns in China Block Truck Shipments and Close Factories,2022-04-08 06:19:47+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
32,Supply chain problems hamper Boeing and Airbus as they try to fulfill a spate of orders from carriers seeking to expand and rejuvenate their fleets.,https://www.nytimes.com/2022/10/26/business/boeing-alaska-airlines.html,,"Airlines are desperate to get more planes to meet insatiable and growing travel demand, but the two major plane manufacturers, Boeing and Airbus, are struggling to keep up.",The New York Times,"Airlines Need New Planes, but the Supply Chain Has Other Ideas",2022-10-26 12:00:06+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
33,"The war in Ukraine has highlighted the risks of doing business with authoritarian countries — not just Russia, but also China.",https://www.nytimes.com/2022/03/07/business/cars-russia-china-trade.html,,"The auto assembly lines going quiet in Germany, Britain and Austria are more than just another example of how fragile supply chains have become. The shutdowns may foreshadow a fundamental reordering of the global economy that Russia’s invasion of Ukraine will accelerate.",The New York Times,Car Industry Woes Show How Global Conflicts Will Reshape Trade,2022-03-07 10:00:17+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
34,Companies are testing whether the United States can regain some of the manufacturing output it ceded in recent decades to China and other countries.,https://www.nytimes.com/2022/01/05/business/economy/supply-chain-reshoring-us-manufacturing.html,,"When visitors arrive at the office of America Knits in tiny Swainsboro, Ga., the first thing they see on the wall is a black-and-white photo that a company co-founder, Steve Hawkins, discovered in a local antiques store.",The New York Times,Supply Chain Woes Prompt a New Push to Revive U.S. Factories,2022-01-05 10:00:23+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
35,"A proposal, and the rapid retreat that followed, both elicited waggish mockery and highlighted a serious economic problem.",https://www.nytimes.com/2022/01/20/business/australia-juvenile-forklift-drivers.html,,"MELBOURNE, Australia — The Australian government has been trying all kinds of things to address a pandemic labor shortage: Letting international students work more hours. Reimbursing visa costs to lure backpackers. Easing isolation requirements for essential workers.",The New York Times,Australia’s (Brief) Idea to Ease Supply Chains: Juvenile Forklift Drivers,2022-01-20 11:49:39+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
36,Businesses around the country are facing what could be the latest disruption to how they get their goods to their customers in a timely and affordable fashion.,https://www.nytimes.com/2023/07/07/business/ups-strike-retail-shippers.html,,"Kathryn Keeler and her husband, Stuart de Haaff, own an olive oil company in the hills of central California. The couple spend their days harvesting olives, bottling the oil, labeling the glass bottles and shipping them out, relying primarily on UPS to get their product to kitchens throughout the United States. ",The New York Times,Looming UPS Strike Spurs Some Companies to Rethink Supply Chains,2023-07-07 14:07:53+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
37,Human rights activists and others urged the Biden administration to cast a wide net to stop imports of products made with forced labor in Xinjiang.,https://www.nytimes.com/2022/04/08/business/economy/china-forced-labor.html,,"WASHINGTON — Human rights activists, labor leaders and others urged the Biden administration on Friday to put its weight behind a coming ban on products made with forced labor in the Xinjiang region of China, saying slavery and coercion taint company supply chains that run through the region and China more broadly.",The New York Times,"Supply Chains Widely Tainted by Forced Labor in China, Panel Is Told",2022-04-08 18:01:46+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
38,Russia is incubating a cottage industry of new digital surveillance tools to suppress domestic opposition to the war in Ukraine. The tech may also be sold overseas.,https://www.nytimes.com/2023/07/03/technology/russia-ukraine-surveillance-tech.html,,"As the war in Ukraine unfolded last year, Russia’s best digital spies turned to new tools to fight an enemy on another front: those inside its own borders who opposed the war.",The New York Times,"Cracking Down on Dissent, Russia Seeds a Surveillance Supply Chain",2023-07-03 04:01:16+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
39,The yawning disparity between the performance of the electric car company and established automakers last year reflects the technological change roiling the industry.,https://www.nytimes.com/2022/01/08/business/teslas-computer-chips-supply-chain.html,,"For much of last year, established automakers like General Motors and Ford Motor operated in a different reality from Tesla, the electric car company.",The New York Times,Why Tesla Soared as Other Automakers Struggled to Make Cars,2022-01-08 10:00:12+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
40,"The company said it expected to produce only 25,000 electric vehicles this year, adding a new cloud to its outlook only months after a hot I.P.O.",https://www.nytimes.com/2022/03/10/business/rivian-earnings.html,,"Rivian, which has had a rocky ride in the stock market after a blockbuster initial public offering, cast a further shadow over its outlook on Thursday, reporting that supply chain problems could severely constrain its production of electric vehicles.",The New York Times,"Rivian Pares Delivery Targets for 2022, Citing Supply Problems",2022-03-10 23:44:54+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
41,"Companies start reporting their third-quarter earnings this week, and profits are expected to have risen substantially. But worries of future growth are growing.",https://www.nytimes.com/2021/10/12/business/earnings-inflation-supply-chain.html,,"The Delta variant of the coronavirus has hurt hiring and made policymakers’ lives more difficult. But investors are taking it in stride, because it appears to have had little effect on corporate profits.",The New York Times,"As earnings season begins, inflation and supply chain issues cloud the outlook.",2021-10-12 13:27:16+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
42,The companies behind e-commerce are embracing automation as the means of transcending the limitations of humans.,https://www.nytimes.com/2022/09/07/business/robots-automation-supply-chain.html,,The people running companies that deliver all manner of products gathered in Philadelphia last week to sift through the lessons of the mayhem besieging the global supply chain. At the center of many proposed solutions: robots and other forms of automation.,The New York Times,The Supply Chain Broke. Robots Are Supposed to Help Fix It.,2022-09-07 09:00:38+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
43,Shortages in construction materials are likely to delay the efforts to rebuild in the aftermath of the devastating storm.,https://www.nytimes.com/2021/08/31/business/hurricane-ida-supply-chain-shortages.html,,"In normal times, the devastation of a massive hurricane like Ida tends to be followed by an aggressive rebuilding effort, as carpenters, roofers and other skilled workers descend on affected communities to repair the damage.",The New York Times,Hurricane Ida could make the supply chain disaster even worse.,2021-08-31 08:58:30+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
44,"Just as the global economy was on track to emerge from the coronavirus pandemic, Russia’s invasion of Ukraine and global sanctions against Moscow are rippling through logistics and supply chains, creating bottlenecks in the transport of goods and commodities and threatening fresh economic pain for countries and businesses near the conflict zone.",https://www.nytimes.com/2022/03/12/world/the-global-supply-chains-pandemic-recovery-is-another-casualty-of-russias-invasion-of-ukraine.html,,"Just as the global economy was on track to emerge from the coronavirus pandemic, Russia’s invasion of Ukraine and global sanctions against Moscow are rippling through logistics and supply chains, creating bottlenecks in the transport of goods and commodities and threatening fresh economic pain for countries and businesses near the conflict zone.",The New York Times,The global supply chain’s pandemic recovery is another casualty of Russia’s invasion of Ukraine.,2022-03-11 18:58:06+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
45,A maker of medical devices can’t keep up with customer demand as the shortage of computer chips puts it in competition with bigger companies with more clout.,https://www.nytimes.com/2021/12/09/business/supply-chain-medical-device-shortages.html,,"For much of this year, Joseph Norwood’s next breath was locked in a zero-sum competition with people eager to upgrade their iPhones.",The New York Times,How the Supply Chain Upheaval Became a Life-or-Death Threat,2021-12-09 10:00:26+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
46,"As shipping companies concentrate on the most lucrative routes from China to California, almond growers are struggling to transport their wares.",https://www.nytimes.com/2022/04/20/business/supply-chain-california-farmers.html,," During a normal spring, the sight of orchards bursting with clusters of almonds is a boon throughout California’s Central Valley. Here is money growing on trees.",The New York Times,How America’s Farmers Got Cut Out of the Supply Chain,2022-04-20 09:00:39+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
47,"Under the legislation, known as a due diligence law, businesses would need to establish regulations to detect, prevent and mitigate breaches of human rights.",https://www.nytimes.com/2022/02/23/business/economy/eu-supply-chain-violations.html,,"Large companies operating in the European Union could be held responsible for environmental violations or human rights abuses committed by businesses in their supply chains under a law proposed on Wednesday by the European Commission, the bloc’s administrative arm.",The New York Times,Companies in the E.U. could be held liable for violations along their supply chain.,2022-02-23 18:05:57+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
48,"Sixty-one vessels were anchored offshore on Thursday waiting to unload cargo at the Port of Los Angeles and the Port of Long Beach, down from 73 on Sunday.",https://www.nytimes.com/2021/09/23/business/cargo-ships-supply-chain.html,,"Container ships were lined up this week off the coast of Southern California, waiting to deliver cargo at the Port of Los Angeles and the Port of Long Beach. The backup offered another sign of the supply chain woes bedeviling businesses across the globe.",The New York Times,A record number of cargo ships off the California coast shows a crack in the supply chain.,2021-09-23 19:30:24+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
49,"Seven months after Washington unveiled tough curbs, Chinese companies are doubling down on homegrown supply chains and drawing billions in cash from Beijing and investors.",https://www.nytimes.com/2023/05/11/technology/china-us-chip-controls.html,,"Last October, construction plans for a hulking semiconductor factory owned by a major state-backed company in central China fell into disarray. The Biden administration had escalated the trade war over technology, severing China’s access to the Western tools and skilled workers it needed to build the most advanced semiconductors.",The New York Times,‘De-Americanize’: How China Is Remaking Its Chip Business,2023-05-11 09:00:36+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
50,"Focusing on electric vehicles, Volkswagen aims for growth in North America, though it could face tough competition.",https://www.nytimes.com/2022/03/16/automobiles/volkswagen-electric-vehicles-us.html,,"Volkswagen is shifting its focus toward North America, as the fallout from Russia’s attack on Ukraine caused more supply chain headaches for the company in Europe, executives said.",The New York Times,Volkswagen eyes U.S. market as war in Ukraine disrupts European production.,2022-03-16 19:49:11+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
51,"The maker of electric pickup trucks, vans and sport utility vehicles affirmed its production forecast for the year.",https://www.nytimes.com/2022/08/11/business/rivian-q2-earnings.html,,"Rivian, a fledgling electric-vehicle manufacturer, said Thursday that it lost $1.7 billion in the second quarter.",The New York Times,Rivian Reports $1.7 Billion Quarterly Loss as Supply Chain Problems Persist,2022-08-11 20:51:22+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
52,"The automobile pioneer believed short-term interests must not squeeze out investment in a business’ resilience, a lesson many companies have learned the hard way since 2020.",https://www.nytimes.com/2022/06/10/business/henry-ford-supply-chain.html,,"DEARBORN, Mich. — Henry Ford, the godfather of mass production, was tormented by the possibility of running out of parts and raw materials. Suspicious of financiers — a spirit that animated his fervent antisemitism — he was especially distrustful of his suppliers. He was consumed with stockpiling enough materials to ensure that his assembly lines could continue operating without debilitating shortages.",The New York Times,Lessons From Henry Ford About Today’s Supply Chain Mess,2022-06-10 07:00:15+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
53,"If freight trains stop rolling, the result could be chaos for business, shortages for consumers, and fresh momentum for rising prices.",https://www.nytimes.com/2022/09/14/business/freight-rail-strike-supply-chain.html,,"Just as the global supply chain flashes signs of returning to normal, a new crisis now threatens to disrupt the transport of a vast range of goods, from agricultural crops to lumber to coal.",The New York Times,How a Rail Strike Could Wreak Havoc on the American Supply Chain,2022-09-14 19:52:00+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
54,"The surge in coronavirus cases is idling workers at ports and trucking companies, while strong consumer demand continues to drive up the cost of shipping and energy.",https://www.nytimes.com/2022/01/12/business/inflation-supply-chain.html,,"Persistent challenges in getting goods from factories to customers continue to drive up the price of cars, computer chips, furniture and other products, pushing up consumer prices in December at the fastest rate since 1982.",The New York Times,Supply chain snags continued to drive up prices in December.,2022-01-12 13:42:05+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
55,"As forests succumb to ever-fiercer wildfires, the federal government and some adventurous private companies are trying to resuscitate an industry.",https://www.nytimes.com/2024/04/04/headway/wildfire-forestry-supply-chain.html,,"When it came to wildfires, 2021 was an increasingly common kind of year in Montana: Flames consumed 747,000 acres, an area nearly the size of Long Island.",The New York Times,How to Revive a Burned Forest? Rebuild the Tree Supply Chain,2024-04-04 09:00:46+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
56,"U.S. and European companies looking to diversify from China are expanding around Southeast Asia, a sign of how geopolitics is reshaping tech manufacturing.",https://www.nytimes.com/2024/03/13/business/malaysia-semiconductors.html,,"Construction cranes still surround the brand-spanking new plant in Kulim’s industrial park in Malaysia. But inside, legions of workers hired by the Austrian tech giant AT&S are already gearing up to produce at full capacity by year’s end.",The New York Times,Malaysia Rises as Crucial Link in Chip Supply Chain,2024-03-13 04:00:12+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
57,"The company, the world’s largest maker of wind turbines, said pandemic delays in China and the rising cost of steel were hindering earnings.",https://www.nytimes.com/2022/01/26/business/vestas-annual-earnings-2021.html,,"Wind energy projects are being proposed around the world to help meet climate goals, but the largest maker of turbines is finding that supply chain issues and pandemic lockdowns are hampering wind farm construction and hurting financial results.",The New York Times,"Vestas, a Danish wind giant, warns of supply chain turbulence.",2022-01-26 13:31:18+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
58,"The chaos at ports, warehouses and retailers will probably persist through the year, and perhaps even longer.",https://www.nytimes.com/2022/02/01/business/supply-chain-disruption.html,,"With the havoc at ports showing no signs of abating and prices for a vast array of goods still rising, the world is absorbing a troubling realization: Time alone will not solve the Great Supply Chain Disruption.",The New York Times,A Normal Supply Chain? It’s ‘Unlikely’ in 2022.,2022-02-01 17:32:09+00:00,general_mkt,"('retail sales', 'global trade', 'supply chain')"
